,regiao_geografica,regional_de_saude,municipio,tipo_da_instituicao,sigla_da_instituicao,nome_da_instituicao,cnpj_da_instituicao,cnpj_do_escritorio_regional_local,tipo_da_forma_de_abastecimento,codigo_forma_de_abastecimento,nome_da_forma_de_abastecimento,nome_da_eta_uta,data_de_registro,data_de_preenchimento_do_relatorio_semestral,data_da_coleta,data_da_analise,uf,ano,semestre,substancia,grupo,lq,ld,vmp,resultado,tipo_resultado,consistencia,pt_monitoramento,atendimento_ao_padrao,tipo_cor
13,SUDESTE,GVS XVI - BOTUCATU E SGVS XVI AVARÉ,TAQUARITUBA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517053119.0,SAA,S355380000001,TAQUARITUBA,,13/08/2018,24/07/2018,02/04/2018,05/04/2018,SP,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,01539,QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
14,SUL,12ª REGIONAL DE SAÚDE- RIO DO SUL,PRESIDENTE NEREU,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433007715.0,SAA,S421410000001,ETA PRESIDENTE NEREU,,25/07/2018,29/06/2018,24/04/2018,02/05/2018,SC,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,038",,0.08,"0,085",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
15,SUL,02 RS - CURITIBA,QUITANDINHA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412120000001,QUITANDINHA UT2191,,26/07/2018,06/07/2018,13/03/2018,29/03/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"10,0000",,0.2,"10,0000",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,1
16,SUL,14 RS - PARANAVAI,NOVA LONDRINA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S411710000001,NOVA LONDRINA UT1831,,09/08/2018,12/07/2018,14/05/2018,24/05/2018,PR,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"80,0000",,0.08,"80,0000",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
17,SUL,02 RS - CURITIBA,AGUDOS DO SUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410030000001,QUEIMADOS UT 5361,,20/08/2018,20/08/2018,10/04/2018,28/04/2018,PR,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"2,0000",,0.1,"2,0000",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
18,SUL,10 RS - CASCAVEL,QUEDAS DO IGUACU,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S412090000001,QUEDAS DO IGUACU UT0671,,24/08/2018,15/08/2018,12/03/2018,29/03/2018,PR,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"200,0000",,0.2,"200,0000",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,1
19,SUDESTE,GVS XVI - BOTUCATU E SGVS XVI AVARÉ,ITAPORANGA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517019107.0,SAA,S352280000005,ITAPORANGA,,11/09/2018,24/07/2018,05/03/2018,08/03/2018,SP,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,1051",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
20,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,ARARENDA,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S230125000001,CAGECE ARARENDA,,06/09/2018,06/09/2018,20/06/2018,21/06/2018,CE,2018,1,Nitrato (como N),Substâncias Inorgânicas,"0,100","0,010",10.0,"14,72",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,1
21,SUL,9ª REGIONAL DE SAÚDE- VIDEIRA,CACADOR,Empresa Estadual,CASAN,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO,82508433000117.0,82508433000974.0,SAA,S420300000002,SAA CACADOR UNIDADE 01,,24/10/2018,05/10/2018,16/04/2018,21/04/2018,SC,2018,1,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"0,0001",,0.2,001,QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,1
22,SUDESTE,GVS XXV - SANTOS,PERUIBE,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517017236.0,SAA,S353760000001,PC PERUIBE,,11/11/2018,17/10/2018,05/03/2018,08/03/2018,SP,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,12",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
23,SUDESTE,SUPERINTENDÊNCIA REGIONAL DE SAÚDE SUL,CASTELO,Empresa Estadual,CESAN,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,28151363000147.0,28151363000147.0,SAA,S320140000001,CASTELO,,14/11/2018,01/10/2018,30/01/2018,01/02/2018,ES,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,01",,0.08,"0,083",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
24,SUL,4ª CRS,NOVA ESPERANCA DO SUL,Empresa Estadual,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,92802784000190.0,92802784005744.0,SAA,S431303000001,NOVA ESPERANÇA DO SUL,,09/12/2018,09/12/2018,29/01/2018,08/02/2018,RS,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00045","0,00014",0.1,"0,11",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
25,SUDESTE,SUPERINTENDÊNCIA REGIONAL DE SAÚDE METROPOLITANA,SERRA,Empresa Estadual,CESAN,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,28151363000147.0,28151363000147.0,SAA,S320500000005,ETA REIS MAGOS,,22/11/2018,11/09/2018,13/06/2018,19/06/2018,ES,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,01",,0.08,"0,130",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
26,SUDESTE,GVS XXXII - ITAPEVA,RIVERSUL,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517030410.0,SAA,S354350000001,RIVERSUL,,11/01/2019,11/01/2019,03/12/2018,11/12/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,0914",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
27,SUL,3ª CRS,PINHEIRO MACHADO,Empresa Estadual,CORSAN,COMPANHIA RIOGRANDENSE DE SANEAMENTO,92802784000190.0,92802784036461.0,SAA,S431450000002,VILA UMBÚ,,10/01/2019,10/08/2018,19/02/2018,01/03/2018,RS,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00045","0,00014",0.1,"0,16",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
28,SUDESTE,GVS XVI - BOTUCATU E SGVS XVI AVARÉ,TAGUAI,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517029676.0,SAA,S355300000002,TAGUAI,,15/06/2019,15/06/2019,23/10/2018,29/10/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,0973",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
29,SUDESTE,MONTES CLAROS,MATO VERDE,Empresa Estadual,COPASA,COMPANHIA DE SANEAMENTO DE MINAS GERAIS,17281106000103.0,17281106000103.0,SAA,S314100000001,SUPERFICIAL MATO VERDE,,27/12/2018,27/12/2018,18/10/2018,24/10/2018,MG,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,0050","0,0025",0.1,"0,10017",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
30,SUDESTE,GVS X - OSASCO,SANTANA DE PARNAIBA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517039981.0,SAA,S354730000003,BACURI ETA,,09/01/2019,08/01/2019,15/10/2018,23/10/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,1017",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
31,SUL,07 RS - PATO BRANCO,HONORIO SERPA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410965000001,HONORIO SERPA UT3421,,24/01/2019,10/01/2019,07/08/2018,21/08/2018,PR,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"80,000",,0.08,"80,000",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
32,SUL,07 RS - PATO BRANCO,HONORIO SERPA,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410965000001,HONORIO SERPA UT3421,,24/01/2019,10/01/2019,07/08/2018,21/08/2018,PR,2018,2,"2, 4, 6 Triclorofenol",Subprodutos da desinfecção,"200,000",,0.2,"200,000",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,1
33,SUDESTE,GVS XXXI - SOROCABA,SAO MIGUEL ARCANJO,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517049359.0,SAA,S355020000001,SÃO MIGUEL ARCANJO,,21/01/2019,21/01/2019,10/12/2018,17/12/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,0947",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
34,SUDESTE,GVS XXVIII - CARAGUATATUBA,CARAGUATATUBA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,10142231000193.0,SAA,S351050000002,SISTEMA DE ABASTECIMENTO DE ÁGUA DO MASSAGUAÇU,,12/02/2019,11/02/2019,28/09/2018,18/10/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,0872",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
35,SUDESTE,GVS XVI - BOTUCATU E SGVS XVI AVARÉ,PEREIRAS,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,13311879000134.0,SAA,S353750000006,PEREIRAS,,28/01/2019,28/01/2019,26/11/2018,05/12/2018,SP,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,0071",,0.1,"0,14516",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
36,SUL,02 RS - CURITIBA,CERRO AZUL,Empresa Estadual,SANEPAR,COMPANHIA DE SANEAMENTO DO PARANA,76484013000145.0,76484013000145.0,SAA,S410520000001,CERRO AZUL UT0731,,24/01/2019,09/01/2019,09/07/2018,31/07/2018,PR,2018,2,Trihalometanos Total,Subprodutos da desinfecção,2,,0.1,2,QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
37,SUDESTE,GVS X - OSASCO,BARUERI,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517039981.0,SAA,S355645000001,SAO LOURENCO,,30/01/2019,22/01/2019,11/12/2018,17/12/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,1174",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
38,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,TAMBORIL,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S231320000001,CAGECE TAMBORIL,,19/02/2019,19/02/2019,07/11/2018,08/11/2018,CE,2018,2,Nitrato (como N),Substâncias Inorgânicas,"0,10","0,01",10.0,"25,87",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,1
39,SUDESTE,GVS X - OSASCO,EMBU DAS ARTES,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517070986.0,SAA,S355030000002,SISTEMA GUARAPIRANGA ETA ENGENHEIRO RODOLFO JOSE DA COSTA E SILVA,,31/01/2019,24/01/2019,27/11/2018,11/12/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,1078",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
40,SUDESTE,GVS XXXI - SOROCABA,ALUMINIO,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517076836.0,SAA,S350115000002,ETA ITARARE,,29/01/2019,28/01/2019,05/12/2018,17/12/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,087",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
41,SUDESTE,SUPERINTENDÊNCIA REGIONAL DE SAÚDE METROPOLITANA,VITORIA,Empresa Estadual,CESAN,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,28151363000147.0,28151363000147.0,SAA,S320130000001,ETA VALE ESPERANCA,,13/02/2019,03/05/2018,18/06/2018,25/06/2018,ES,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,002",,0.1,"0,171",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
42,SUDESTE,GVS XX - PIRACICABA,AGUAS DE SAO PEDRO,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517053208.0,SAA,S350060000002,ETA SABESP,,28/01/2019,28/01/2019,03/12/2018,10/12/2018,SP,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,0071",,0.1,"0,14132",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
43,NORDESTE,01 REGIONAL DE SAUDE FORTALEZA,FORTALEZA,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S230440000002,SISTEMA GAVIAO,,20/02/2019,20/02/2019,31/03/2018,31/03/2018,CE,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,04","0,004",0.1,"0,20",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
44,SUDESTE,GVS XVII - CAMPINAS,JARINU,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,12474348000108.0,SAA,S352520000001,JARINU,,25/02/2019,18/02/2019,12/12/2018,17/12/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,119",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
45,SUDESTE,GVS XXVIII - CARAGUATATUBA,UBATUBA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,12277840000185.0,SAA,S355540000005,ETA MARANDUBA,,12/02/2019,11/02/2019,05/11/2018,12/11/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,175",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
46,SUDESTE,SUPERINTENDÊNCIA REGIONAL DE SAÚDE METROPOLITANA,VITORIA,Empresa Estadual,CESAN,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,28151363000147.0,28151363000147.0,SAA,S320520000001,ETA COBI,,13/02/2019,03/05/2018,19/03/2018,21/03/2018,ES,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,002",,0.1,"0,101",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
47,SUDESTE,GVS XXIII - REGISTRO,JUQUIA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517017155.0,SAA,S352990000005,ETA OLIVEIRA BARROS,,10/04/2019,27/12/2018,15/10/2018,23/10/2018,SP,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,0962",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
48,CENTRO-OESTE,REGIONAL OESTE I,ARAGARCAS,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520170000001,SANEAGO DE ARAGARCAS,,25/04/2019,23/08/2018,03/05/2018,04/05/2018,GO,2018,1,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"17,775",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
49,SUDESTE,GVS XVI - BOTUCATU E SGVS XVI AVARÉ,PARANAPANEMA,Empresa Estadual,SABESP,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO,43776517000180.0,43776517056568.0,SAA,S353580000002,HOLAMBRA,,07/06/2019,25/07/2018,16/05/2018,24/05/2018,SP,2018,1,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,008",,0.08,"0,0816",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
50,CENTRO-OESTE,REGIONAL RIO VERMELHO,ARAGUAPAZ,Empresa Estadual,SANEAGO,SANEAMENTO DE GOIAS SA,1616929000102.0,1616929000102.0,SAA,S520215000001,ARAGUAPAZ,,29/04/2019,17/12/2018,06/11/2018,16/11/2018,GO,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,00035","0,00012",0.1,"2,401",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
51,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,TAMBORIL,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S231320000002,CAGECE DO DISTRITO DE SUCESSO,,13/02/2019,13/02/2019,13/09/2018,14/09/2018,CE,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,0030","0,0005",0.1,"0,3",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
52,SUDESTE,SUPERINTENDÊNCIA REGIONAL DE SAÚDE SUL,MUQUI,Empresa Estadual,CESAN,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,28151363000147.0,28151363000147.0,SAA,S320380000105,CAMARA,,30/07/2019,03/12/2018,25/07/2018,30/07/2018,ES,2018,2,Ácidos haloacéticos total,Subprodutos da desinfecção,"0,01",,0.08,"0,150",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
53,SUDESTE,SUPERINTENDÊNCIA REGIONAL DE SAÚDE SUL,MUQUI,Empresa Estadual,CESAN,COMPANHIA ESPIRITO SANTENSE DE SANEAMENTO,28151363000147.0,28151363000147.0,SAA,S320380000105,CAMARA,,30/07/2019,03/12/2018,25/07/2018,30/07/2018,ES,2018,2,Trihalometanos Total,Subprodutos da desinfecção,"0,1",,0.1,"0,22",QUANTIFICADO,Consistente,SISTEMA DE DISTRIBUIÇÃO,Acima do VMP,2
54,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,ARARENDA,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S230125000001,CAGECE ARARENDA,ETA DE ARARENDÁ,27/02/2019,27/02/2019,19/12/2018,20/12/2018,CE,2018,2,Nitrato (como N),Substâncias Inorgânicas,"0,10","0,01",10.0,"10,80",QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
55,NORDESTE,15 REGIONAL DE SAUDE CRATEUS,PORANGA,Empresa Estadual,CAGECE,COMPANHIA DE AGUA E ESGOTO DO CEARA,7040108000157.0,7040108000157.0,SAA,S231100000001,CAGECE PORANGA,ETA PORANGA,06/09/2018,06/09/2018,20/06/2018,21/06/2018,CE,2018,1,Nitrato (como N),Substâncias Inorgânicas,"0,10","0,01",10.0,052,QUANTIFICADO,Consistente,SAÍDA DO TRATAMENTO,Acima do VMP,1
